No,Student ID,First Name,Last Name,Social ID,Date of Birth,Gender
1,21127001,A,Nguyen Van ,2123456789,1/1/2003,Male
2,21127002,B,Nguyen Thi ,2123456790,1/2/2003,Female
3,21127003,C,Tran Van ,2123456791,1/3/2003,Male
4,21127004,D,Tran Thi ,2123456792,1/4/2003,Female
5,21127005,E,Le Van ,2123456793,1/5/2003,Male
6,21127006,E,Le Thi ,2123456794,1/6/2003,Female
7,21127047,G,Huynh Van ,2123456795,1/7/2003,Male
8,21127008,H,Huynh Thi ,2123456796,1/8/2003,Female
9,21127009,I,Dang Van ,2123456797,1/9/2003,Male
10,21127010,K,Dang Thi ,2123456798,1/10/2003,Female
11,21127011,L,Dinh Van ,2123456799,1/11/2003,Male
12,21127012,M,Dinh Thi ,2123456800,1/12/2003,Female
13,21127013,N,Doan Van ,2123456801,1/13/2003,Male
14,21127014,O,Doan Thi ,2123456802,1/14/2003,Female
15,21127015,O,Fa Van ,2123456803,1/15/2003,Male
16,21127016,O,Fa Thi ,2123456804,1/16/2003,Female
17,21127017,P,Nguyen Van ,2123456805,1/17/2003,Male
18,21127018,Q,Nguyen Thi ,2123456806,1/18/2003,Female
19,21127019,R,Tran Van ,2123456807,1/19/2003,Male
20,21127020,S,Tran Thi ,2123456808,1/20/2003,Female
21,21127021,T,Le Van ,2123456809,1/21/2003,Male
22,21127022,U,Le Thi ,2123456810,1/22/2003,Female
23,21127023,U,Huynh Van ,2123456811,1/23/2003,Male
24,21127024,V,Huynh Thi ,2123456812,1/24/2003,Female
25,21127025,X,Dang Van ,2123456813,1/25/2003,Male
26,21127026,Y,Dang Thi ,2123456814,1/26/2003,Female
27,21127027,Linh,Dinh Van ,2123456815,1/27/2003,Male
28,21127028,Minh,Dinh Thi ,2123456816,1/28/2003,Female
29,21127029,Ngoc,Doan Van ,2123456817,1/29/2003,Male
30,21127030,Hong,Doan Thi ,2123456818,1/30/2003,Female
31,21127031,On,Fa Van ,2123456819,1/31/2003,Male
32,21127032,Anh,Fa Thi ,2123456820,2/1/2003,Female
33,21127033,An,Nguyen Van ,2123456821,2/2/2003,Male
34,21127034,Binh,Nguyen Thi ,2123456822,2/3/2003,Female
35,21127035,Chau,Tran Van ,2123456823,2/4/2003,Male
36,21127036,Dung,Tran Thi ,2123456824,2/5/2003,Female
37,21127037,Em,Le Van ,2123456825,2/6/2003,Male
38,21127038,Yen,Le Thi ,2123456826,2/7/2003,Female
39,21127039,Giang,Huynh Van ,2123456827,2/8/2003,Male
