No,Student ID,Student Name,Social ID,Date of Birth,Gender
1,21127001,Nguyen Van A,2123456789,1/1/2003,Male
2,21127002,Nguyen Thi B,2123456790,1/2/2003,Female
3,21127003,Tran Van C,2123456791,1/3/2003,Male
4,21127004,Tran Thi D,2123456792,1/4/2003,Female
5,21127005,Le Van E,2123456793,1/5/2003,Male
6,21127006,Le Thi E,2123456794,1/6/2003,Female
7,21127047,Huynh Van G,2123456795,1/7/2003,Male
8,21127008,Huynh Thi H,2123456796,1/8/2003,Female
9,21127009,Dang Van I,2123456797,1/9/2003,Male
10,21127010,Dang Thi K,2123456798,1/10/2003,Female
11,21127011,Dinh Van L,2123456799,1/11/2003,Male
12,21127012,Dinh Thi M,2123456800,1/12/2003,Female
13,21127013,Doan Van N,2123456801,1/13/2003,Male
14,21127014,Doan Thi O,2123456802,1/14/2003,Female
15,21127015,Fa Van O,2123456803,1/15/2003,Male
16,21127016,Fa Thi O,2123456804,1/16/2003,Female
17,21127017,Nguyen Van P,2123456805,1/17/2003,Male
18,21127018,Nguyen Thi Q,2123456806,1/18/2003,Female
19,21127019,Tran Van R,2123456807,1/19/2003,Male
20,21127020,Tran Thi S,2123456808,1/20/2003,Female
21,21127021,Le Van T,2123456809,1/21/2003,Male
22,21127022,Le Thi U,2123456810,1/22/2003,Female
23,21127023,Huynh Van U,2123456811,1/23/2003,Male
24,21127024,Huynh Thi V,2123456812,1/24/2003,Female
25,21127025,Dang Van X,2123456813,1/25/2003,Male
26,21127026,Dang Thi Y,2123456814,1/26/2003,Female
27,21127027,Dinh Van Linh,2123456815,1/27/2003,Male
28,21127028,Dinh Thi Minh,2123456816,1/28/2003,Female
29,21127029,Doan Van Ngoc,2123456817,1/29/2003,Male
30,21127030,Doan Thi Hong,2123456818,1/30/2003,Female
31,21127031,Fa Van On,2123456819,1/31/2003,Male
32,21127032,Fa Thi Anh,2123456820,2/1/2003,Female
33,21127033,Nguyen Van An,2123456821,2/2/2003,Male
34,21127034,Nguyen Thi Binh,2123456822,2/3/2003,Female
35,21127035,Tran Van Chau,2123456823,2/4/2003,Male
36,21127036,Tran Thi Dung,2123456824,2/5/2003,Female
37,21127037,Le Van Em,2123456825,2/6/2003,Male
38,21127038,Le Thi Yen,2123456826,2/7/2003,Female
39,21127039,Huynh Van Giang,2123456827,2/8/2003,Male
