Student ID,PassWord,Last Name,First Name,Social ID,Date of Birth,Gender,Class
21127003,123,Tran Van, C,2123456791,1/3/2003,Male,21CLC09
21127004,123,Tran Thi, D,2123456792,1/4/2003,Female,21CLC09
21127005,123,Le Van, E,2123456793,1/5/2003,Male,21CLC09
21127006,123,Le Thi, E,2123456794,1/6/2003,Female,21CLC09
21127047,123,Huynh Van, G,2123456795,1/7/2003,Male,21CLC09
21127008,123,Huynh Thi, H,2123456796,1/8/2003,Female,21CLC09
21127009,123,Dang Van, I,2123456797,1/9/2003,Male,21CLC09
21127010,123,Dang Thi, K,2123456798,1/10/2003,Female,21CLC09
21127011,123,Dinh Van, L,2123456799,1/11/2003,Male,21CLC09
21127012,123,Dinh Thi, M,2123456800,1/12/2003,Female,21CLC09
21127013,123,Doan Van, N,2123456801,1/13/2003,Male,21CLC09
21127014,123,Doan Thi, O,2123456802,1/14/2003,Female,21CLC09
21127015,123,Fa Van, O,2123456803,1/15/2003,Male,21CLC09
21127016,123,Fa Thi, O,2123456804,1/16/2003,Female,21CLC09
21127017,123,Nguyen Van, P,2123456805,1/17/2003,Male,21CLC09
21127018,123,Nguyen Thi, Q,2123456806,1/18/2003,Female,21CLC09
21127019,123,Tran Van, R,2123456807,1/19/2003,Male,21CLC09
21127020,123,Tran Thi, S,2123456808,1/20/2003,Female,21CLC10
21127021,123,Le Van, T,2123456809,1/21/2003,Male,21CLC10
21127022,123,Le Thi, U,2123456810,1/22/2003,Female,21CLC10
21127023,123,Huynh Van, U,2123456811,1/23/2003,Male,21CLC10
21127024,123,Huynh Thi, V,2123456812,1/24/2003,Female,21CLC10
21127025,123,Dang Van, X,2123456813,1/25/2003,Male,21CLC10
21127026,123,Dang Thi, Y,2123456814,1/26/2003,Female,21CLC10
21127027,123,Dinh Van, Linh,2123456815,1/27/2003,Male,21CLC10
21127028,123,Dinh Thi, Minh,2123456816,1/28/2003,Female,21CLC10
21127029,123,Doan Van, Ngoc,2123456817,1/29/2003,Male,21CLC10
21127030,123,Doan Thi, Hong,2123456818,1/30/2003,Female,21CLC10
21127031,123,Fa Van, On,2123456819,1/31/2003,Male,21CLC09
21127032,123,Fa Thi, Anh,2123456820,2/1/2003,Female,21CLC09
21127033,123,Nguyen Van, An,2123456821,2/2/2003,Male,21CLC09
21127034,123,Nguyen Thi, Binh,2123456822,2/3/2003,Female,21CLC09
21127035,123,Tran Van, Chau,2123456823,2/4/2003,Male,21CLC09
21127036,123,Tran Thi, Dung,2123456824,2/5/2003,Female,21CLC09
21127037,123,Le Van, Em,2123456825,2/6/2003,Male,21CLC09
21127038,123,Le Thi, Yen,2123456826,2/7/2003,Female,21CLC09
21127039,123,Huynh Van, Giang,2123456827,2/8/2003,Male,21CLC09


